0001-1541	aiche j
0301-5629	ultrasound med biol
0301-5661	community dent oral epidemiol
0301-6226	livest prod sci
0301-634X	radiat environ biophys
0301-679X	tribol int
0301-7516	int j miner process
0301-8121	j chin philos
0301-9268	precambrian res
0301-9322	int j multiph flow
0302-1688	orig life
0302-184X	ocean manage
0302-2927	ann nucl sci eng
0302-3524	estuar coast mar sci
0302-4598	bioelectrochem bioenerg
0302-766X	cell tissue res
0302-8933	arch microbiol
0302-9530	arch oto rhino laryngol
0303-1268	euromicro newsl
0303-2434	itc j
0303-2647	biosystems
0303-402X	colloid polym sci
0303-4194	z gesamte neurol psychiatr
0303-4569	andrologia
0303-6812	j math biol
0303-6898	scand j stat
0303-6979	j clin periodontol
0303-6987	j cutan pathol
0303-7207	mol cell endocrinol
0303-8300	soc indic res
0303-8467	clin neurol neurosurg
0304-1131	agric environ
0304-131X	acta pathol microbiol scand sect b microbiol
0304-1328	acta pathol microbiol scand sect c immunol
0304-2421	theory soc
0304-3479	russ lit
0304-3487	russ linguist
0304-3746	agro ecosyst
0304-3762	appl anim ethol
0304-3770	aquat bot
0304-3800	ecol model
0304-3835	cancer lett
0304-3843	hyperfine interact
0304-386X	hydrometallurgy
0304-3878	j dev econ
0304-3886	j electrost
0304-3894	j hazard mater
0304-3924	landsc plan
0304-3940	neurosci lett
0304-3959	pain
0304-3967	resour recov conserv
0304-3975	theor comput sci
0304-3991	ultramicroscopy
0304-4009	urban ecol
0304-4017	vet parasitol
0304-4068	j math econ
0304-4076	j econom
0304-4092	dialect anthropol
0304-4130	eur j polit res
0304-4149	stochastic processes appl
0304-4157	biochim biophys acta mr rev biomembr
0304-4165	biochim biophys acta gen subj
0304-4181	j mediev hist
0304-419X	biochim biophys acta cr rev cancer
0304-4203	mar chem
0304-4211	plant sci lett
0304-422X	poetics
0304-4238	sci hortic
0304-4289	pramana
0304-5013	prog obstet ginecol
0304-5102	j mol catal
0304-8608	arch virol
0304-8853	j magn magn mater
0305-0270	j biogeogr
0305-0483	omega
0305-0491	comp biochem physiol b comp biochem
0305-0548	comput oper res
0305-1048	nucleic acids res
0305-182X	j oral rehabil
0305-1838	mamm rev
0305-1846	neuropathol appl neurobiol
0305-1862	child care health dev
0305-1870	clin exp pharmacol physiol
0305-1978	biochem syst ecol
0305-4179	burns
0305-4403	j archaeol sci
0305-7364	ann bot
0305-7372	cancer treat rev
0305-7453	j antimicrob chemother
0305-7488	j hist geogr
0305-750X	world dev
0305-8107	j occup psychol
0305-9049	oxf bull econ stat
0306-039X	pharmacol ther part b
0306-042X	biomed mass spectrom
0306-1078	early music
0306-2619	appl energy
0306-3623	gen pharmacol
0306-3674	br j sports med
0306-3747	addit polymer
0306-4379	inf syst
0306-4492	comp biochem physiol c comp pharmacol
0306-4522	neuroscience
0306-4530	psychoneuroendocrinology
0306-4549	ann nucl energy
0306-4565	j therm biol
0306-4573	inf process manag
0306-4603	addict behav
0306-5456	br j obstet gynaecol
0306-6800	j med ethics
0306-7734	int stat rev
0306-8919	opt quantum electron
0306-9877	med hypotheses
0307-4412	biochem educ
0307-692X	aust j ecol
0307-6938	clin exp dermatol
0307-6946	ecol entomol
0307-6962	physiol entomol
0307-6970	syst entom
0307-7772	clin otolaryngol allied sci
0307-904X	appl math model
0308-0110	med educ
0308-0161	int j press vessels piping
0308-0501	fire mater
0308-4086	j cryst mol struct
0308-521X	agric syst
0308-5953	microprocessors
0308-5961	telecommun policy
0308-597X	mar policy
0308-8146	food chem
0308-9126	ndt int
0309-0167	histopathology
0309-1317	int j urban reg res
0309-1651	cell biol int rep
0309-1708	adv water resour
0309-1740	meat sci
0309-2402	j adv nurs
0309-8249	j philos educ
0313-6647	aust j public adm
0314-9021	community health stud
0315-0860	hist math
0315-5463	can inst food sci technol j
0319-485X	relig stud rev
0319-5724	can j stat
0323-1046	lesn cas
0323-3847	biom j
0323-4045	z savigny stift rechtsgesch ger abt
0323-4096	z savigny stift rechtsgesch rom abt
0323-4142	z savigny stift rechtsgesch kanon abt
0323-4320	acta hydrochim hydrobiol
0323-6056	zent bl bakteriol parasitenkd infekt krankh hyg 2 nat wiss abt allg landwirtsch tech mikrobiol
0323-7648	acta polym
0324-4652	neohelicon
0334-0082	int j turbo jet engines
0334-0139	int j adolesc med health
0334-018X	j pediatr endocrinol metab
0334-1763	rev neurosci
0334-1860	j intell syst
0334-2123	phytoparasitica
0334-6005	corros rev
0334-6447	j polym eng
0334-6455	high temp mater progresses
0335-7457	rev fr allergol immunol clin
0338-4535	rev fr transfus immuno hématol
0338-9898	rev fr lab
0340-0131	int arch occup environ health
0340-0204	j non equilib thermodyn
0340-0387	z zellforsch mikrosk anat a allg zellforsch mikrosk anat
0340-0727	psychol res
0340-0794	wilhelm roux arch dev biol
0340-0964	eur j intensive care med
0340-1057	biophys struct mech
0340-1200	biol cybern
0340-1782	z hyg infektionskr
0340-2096	anat histol embryol
0340-3696	arch dermatol res
0340-3793	appl phys
0340-4285	transit met chem
0340-5222	anglia
0340-5354	j neurol
0340-5443	behav ecol sociobiol
0340-5664	chir plast
0340-5761	arch toxicol
0340-6075	virchows arch b cell pathol
0340-6199	eur j pediatr
0340-6717	hum genet
0340-6725	zoomorphologie
0340-6997	eur j nucl med
0340-7004	cancer immunol immunother
0340-7322	anz schädlingskd pflanzen umweltschutz
0340-7330	anz schädlingskd pflanzenschutz umweltschutz
0340-7594	j comp physiol a sens neural behav physiol
0340-904X	z immunitätsforsch
0340-9422	zor z oper res
0341-2040	lung
0341-2059	communications
0341-2695	int orthop
0341-4183	bibliothek
0341-5163	nachr chem tech lab
0341-7638	j lit semant
0341-8162	catena
0342-1422	nietzsche stud
0342-1791	phys chem miner
0342-3026	laboratoriumsmedizin
0342-4642	intensive care med
0342-7188	irrig sci
0342-7196	cardiovasc radiol
0343-2521	geojournal
0343-6993	math intell
0343-7329	monatsh chem verw tl and wiss
0343-8651	cur microbiol
0344-0338	pathol res pract
0344-5607	neurosurg rev
0344-5704	cancer chemother pharmacol
0344-8444	arch orthop trauma surg
0360-0025	sex roles
0360-1269	earth surf processes
0360-1285	prog energy combust sci
0360-1315	comput educ
0360-1323	build environ
0360-2133	metall trans a phys metall mater sci
0360-2141	metall trans b process metall
0360-3016	int j radiat oncol biol phys
0360-3199	int j hydrogen energy
0360-3989	human commun res
0360-3997	inflammation
0360-4012	j neurosci res
0360-5310	j med philos
0360-5442	energy
0360-6376	j polym sci polym chem ed
0360-6384	j polym sci polym lett ed
0360-8352	comput ind eng
0360-8905	j polym sci polym symp
0361-2317	color res appl
0361-3658	conserv recycling
0361-3666	disasters
0361-476X	contemp educ psychol
0361-5235	j electron mater
0361-7610	glass ceram
0361-9230	brain res bull
0362-2525	j morphol
0362-4021	group
0362-4803	j labelled compd radiopharm
0362-546X	nonlinear anal
0362-5478	pharmacol ther a chemotherapy toxicology metabol inhib
0363-0234	suicide life threat behav
0363-1672	lith math j
0363-3586	biofeedback self regul
0363-5023	j hand surg
0363-6550	midwest stud philos
0363-9061	int j numer anal methods geomech
0363-907X	int j energy res
0364-0213	cogn sci
0364-152X	environ manage
0364-216X	aesthet plast surg
0364-2313	world j surg
0364-2348	skelet radiol
0364-2356	gastrointest radiol
0364-3190	neurochem res
0364-5134	ann neurol
0364-5916	calphad
0364-6408	libr acquis pract theory
0364-7722	prog neuro psychopharmacol
0364-9024	j graph theory
0365-0863	arbeitsphysiologie
0365-1029	ann univ mariae curie sklodowska sect a
0365-110X	acta crystallogr
0365-1789	adv energy convers
0365-2009	naunyn schmiedebergs arch exp pathol pharmakol
0365-2564	arch gewerbepathol gewerbehyg
0365-4184	acta pathol microbiol scand sect a pathol
0365-5164	arch neerl zool
0365-5245	arch ohren nasen kehlkopfheilkd
0365-5423	naunyn schmiedebergs arch pharmakol exp pathol
0365-5555	acta pathol microbiol scand
0365-5563	acta pathol microbiol scand sect b microbiol immunol
0365-6020	arch dermatol syph
0365-6233	arch pharm
0365-6608	anz schädlingskd
0365-7132	appl sci res sect a mech heat
0365-7140	appl sci res sect b electrophys acoust opt math methods
0365-9496	ber dtsch chem ges
0365-9631	ber dtsch bot ges
0366-0850	br j tuberc
0366-0869	br j tuberc dis chest
0366-1369	beitr mineral petrogr
0366-2136	bodenkd pflanzenernähr
0366-483x	bull volcanol
0366-483X	bull volcanol
0366-662X	ceskoslov mikrobiol
0367-0031	dtsch z gesamte gerichtl med
0367-004x	dtsch z nervenheilkd
0367-004X	dtsch z nervenheilkd
0367-326X	fitoterapia
0367-3278	fette seifen
0367-5769	heidelb beitr mineral petrogr
0367-8377	int j pept protein res
0367-9977	int arch gewerbepathol gewerbehyg
0368-1319	j atheroscler res
0368-1467	j biochem microbiol technol eng
0368-1742	j comp pathol ther
0368-1874	j electroanal chem
0368-2048	j electron spectrosc relat phenom
0368-2811	jpn j clin oncol
0368-3230	j nucl energy parts a b react sci technol
0368-3265	j nucl energy part a react sci
0368-3273	j nucl energy part b react technol
0368-3494	j pathol bacteriol
0368-3974	j r microsc soc
0368-4075	j soc chem ind
0368-6590	kolloid z
0369-1497	tschermak s mineral petrogr mitt
0369-3546	nuovo cimento a
0369-3554	nuovo cim b
0369-5816	nucl struct eng
0369-643X	nucl instr
0369-8114	pathol biol
0369-9498	pharmacol clin
0370-0089	proc indian acad sci sect a
0370-0097	proc indian acad sci sect b
0370-1573	phys rep
0370-1972	phys status solidi b basic res
0370-2693	phys lett sect b
0370-2774	proc zool soc lond
0370-4475	rev electroencephalogr neurophysiol clin
0370-4688	rev fr allerg
0370-8497	samml vergiftungsf
0371-1951	spectrochim acta
0372-1248	transfusion
0372-8323	z elektrochem angew phys chem
0372-8609	z verebungsl
0372-9389	z morphol Ökol tiere
0373-0069	z tierernähr futtermittelkd
0373-0174	z unters lebensm
0373-3114	ann mat pura appl
0373-8493	mitt zool mus berl
0374-3535	j elast
0374-3926	opt technol
0375-6505	geothermics
0375-6742	j geochem explor
0375-9210	j appl chem biotechnol
0375-9245	acta neuroveg
0375-930X	lett nuovo cimento soc ital fis
0375-9458	int j neuropharmacol
0375-9474	nucl phys a
0375-9601	phys lett a
0376-0081	virchows arch pathol anat physiol klin med
0376-0421	prog aerosp sci
0376-4583	surf technol
0376-5075	comput netw
0376-6349	j occup accid
0376-6357	behav processes
0376-7388	j membr sci
0376-8716	drug and alcohol depend
0376-9429	int j fract
0377-0257	j non newton fluid mech
0377-0265	dyn atmos oceans
0377-0273	j volcanol geotherm res
0377-0427	j comput appl math
0377-0486	j raman spectrosc
0377-2217	eur j oper res
0377-3205	qual plant plant foods hum nutr
0377-8398	mar micropaleontol
0377-8401	anim feed sci technol
0377-841X	eng process econ
0377-9017	lett math phys
0378-1097	fems microbiol lett
0378-1119	gene
0378-1127	for ecol manage
0378-1135	vet microbiol
0378-1909	environ biol fishes
0378-2166	j pragmat
0378-2697	plant syst evol
0378-3758	j stat plan inference
0378-3774	agric water manage
0378-3782	early hum dev
0378-3804	j mech work technol
0378-3812	fluid phase equilib
0378-3820	fuel process technol
0378-3839	coastal eng
0378-4274	toxicol lett
0378-4290	field crops res
0378-4312	vet sci commun
0378-4320	anim reprod sci
0378-4347	j chromatogr biomed appl
0378-4363	physica b c
0378-4371	physica a
0378-4487	adv mol relax interact processes
0378-4754	math comput simul
0378-5122	maturitas
0378-5173	int j pharm
0378-5599	rev int trav
0378-5955	hear res
0378-5963	appl surf sci
0378-620X	integr equ oper theory
0378-7206	inf manage
0378-7753	j power sources
0378-777X	environ policy law
0378-7788	energy build
0378-7796	electr power syst res
0378-8733	soc networks
0378-8741	j ethnopharmacol
0379-0312	rev int sécur soc
0379-0738	forensic sci int
0379-6779	synth met
0379-6787	sol cells
0379-7112	fire saf j
0379-864X	chem senses
0380-1330	j great lakes res
0385-2407	j dermatol
0385-5600	microbiol immunol
0385-6380	j ferment technol
0385-8146	auris nasus larynx
0387-7604	brain dev
0388-0001	lang sci
0389-2328	asia oceania j obstet gynaecol
0389-4304	jsae rev
0390-5519	ceramurg int
0390-6035	mater chem
0392-6737	nuovo cim soc ital fis d condens matter at mol chem phys biophys
0393-2990	eur j epidemiol
0393-697X	riv nuovo cim soc ital fis
0394-7394	nuncius
0399-077X	méd mal infect
0399-1784	oceanol acta
0424-7760	electr eng jpn
0425-1644	equine vet j
0435-1339	gastroenterol jpn
0435-3676	geogr ann ser a phys geogr
0435-3684	geogr ann ser b
0449-2951	j polym sci part a gen pap
0449-296X	j polym sci part a 1 polym chem
0449-2978	j polym sci part a 2 polym phys
0449-2986	j polym sci part b polym lett
0449-2994	j polym sci part c polym symp
0449-5705	j bioenerg
0452-599X	koroze ochr mater
0514-0641	züchter
0531-5131	excerpta med int congr ser
0531-5565	exp gerontol
0538-8066	int j chem kinet
0543-1972	meas tech
0550-3213	nucl phys b
0551-3677	pol nohospodárstvo
0557-9325	rev prog color relat top
0567-7394	acta crystallogr sect a cryst phys diffr theor gen crystallogr
0567-7408	acta crystallogr sect b struct crystallogr cryst chem
0568-5230	bull acad sci ussr div chem sci
0570-0833	angew chem int ed engl
0570-1864	ann reg sci
0570-5398	arabica
0571-7256	astrophysics
0584-8539	spectrochim acta part a mol spectrosc
0584-8547	spectrochim acta part b at spectrosc
0585-5292	stud islam
0591-2385	zygon
0720-048X	eur j radiol
0720-213X	zoomorphology
0720-6763	abi tech
0721-3115	propellants explos pyrotech
0721-7595	j plant growth regul
0721-7714	plant cell rep
0721-832X	graefe arch clin exp ophthalmol
0721-9067	z sprachwiss
0721-9571	zent bl bakteriol mikrobiol hyg 1 abt orig c allg angew Ökol mikrobiol
0722-2211	eur j clin microbiol
0722-4028	coral reefs
0722-4060	polar biol
0723-2020	syst appl microbiol
0723-2632	rock mech rock eng
0723-4864	exp fluids
0724-4983	world j urol
0724-8741	pharm res
0730-2312	j cell biochem
0730-4862	comput radiol
0730-6679	adv polym technol
0730-725X	magn reson imaging
0730-7268	environ toxicol chem
0730-7659	birth
0731-7085	j pharm biomed anal
0731-7239	syst res
0731-7247	j afr earth sci
0731-8235	clin rev allergy
0732-118X	new ideas psychol
0732-2992	muqarnas
0732-8818	exp tech
0732-8893	diagn microbiol infect dis
0733-2459	j clin apher
0733-2467	neurourol urodyn
0733-3188	zoo biol
0733-5210	j cereal sci
0733-8619	neurol clin
0733-8627	emerg med clin north am
0733-8635	dermatol clin
0733-8651	cardiol clin
0734-0664	gerodontology
0734-189X	comput vis graph image process
0734-743X	int j impact eng
0734-9750	biotechnol adv
0735-0414	alcohol alcohol
0735-0651	gene anal tech
0735-1097	j am coll cardiol
0735-1933	int commun heat mass transf
0735-2166	j urban aff
0735-245X	nucl tracks radiat meas
0735-6757	am j emerg med
0735-9640	plant mol biol report
0736-0118	med oncol tumor pharmacother
0736-0266	j orthop res
0736-4679	j emerg med
0736-5748	int j dev neurosci
0736-5845	robot comput integr manuf
0736-5853	telemat inform
0736-8046	ped dermatol
0737-0806	j equine vet sci
0737-1209	public health nurs
0737-2884	int j satell commun
0737-6782	j prod innov manage
0737-8262	curr psychol res rev
0738-0593	int j educ dev
0738-081X	clin dermatol
0738-1085	microsurgery
0738-1751	antimicrob newsl
0738-3991	patient educ couns
0739-4462	arch insect biochem physiol
0739-6260	micron microsc acta
0739-7240	domest anim endocrinol
0740-0020	food microbiol
0740-3194	magn reson med
0740-5472	j subst abuse treat
0740-624X	govern inform q
0740-7750	somat cell mol genet
0740-7769	j in vitro fertil embryo transf
0740-8188	libr inf sci res
0741-0395	genet epidemiol
0741-0581	j electron microsc tech
0741-2223	j robot syst
0741-5214	j vasc surg
0741-6261	rand j econ
0741-8329	alcohol
0741-983X	solar wind technol
0742-2091	cell biol toxicol
0742-2822	echocardiography
0742-3071	diabetic med
0742-3098	j pineal res
0742-4221	diabetes metab rev
0742-8413	comp biochem physiol c comp pharmacol toxicol
0743-1066	j log program
0743-7315	j parallel distrib comput
0743-9547	j southeast asian earth sci
0745-7138	j microcomput appl
0747-5632	comput hum behav
0747-7171	j symb comput
0748-1977	j clin monit
0748-1985	j ration emot ther
0748-3007	cladistics
0748-4518	j quant criminol
0748-5514	j free radic biol med
0748-612X	att bell lab tech j
0748-7983	eur j surg oncol
0748-8017	qual reliab eng int
0748-8025	commun appl numer methods
0748-8386	stress med
0749-0690	clin geriatr med
0749-0704	crit care clin
0749-1581	magn reson chem
0749-2081	sem oncol nurs
0749-3797	am j prev med
0749-596X	j mem lang
0749-5978	org behav hum decis process
0749-6036	superlattices microstruct
0749-6419	int j plast
0749-8063	arthroscopy
0750-7658	ann fr anesth réanim
0753-3322	biomed pharmacother
0753-3969	ann paléontol
0753-9053	ann chir main
0761-8980	rech transp sécur
0764-4442	c r acad sci sér 1 math
0764-4469	c r acad sci sér 3 sci vie
0765-1597	sci sports
0767-3981	fundam clin pharmacol
0769-2609	ann inst pasteur microbiol
0769-2617	ann inst pasteur virol
0769-2625	ann inst pasteur immunol
0770-3198	clin rheumatol
0792-1241	main group met chem
0792-5077	drug metab drug interact
0802-6106	int j appl ling
0803-5253	acta paediatr
0814-9763	aust n z j ophtal
0815-9319	j gastroenterol hepatol
0824-0469	mar mamm sci
0824-7935	comput intell
0826-4805	interchange
0860-7001	arch min sci
0861-6663	j theor appl mech
0863-1042	contrib plasma phys
0863-1778	z anorg allg chem
0868-8249	latv kim z
0868-8257	latv j phys tech sci
0882-1666	syst comput jpn
0882-2689	j psychopathol behav assess
0882-4010	microb pathog
0882-5734	flavour fragr j
0882-5963	j pediatr nurs
0882-6498	j med humanit bioeth
0883-153X	polym contents
0883-2889	int j radiat appl instrum a appl radiat isot
0883-2897	int j radiat appl instrum b nucl med biol
0883-2927	appl geochem
0883-5403	j arthr
0883-5551	adv ceram mater
0883-6353	geoarchaeology
0883-6612	annals behav med
0883-7066	syst dyn rev
0883-7252	j appl econ
0883-8305	paleoceanography
0883-8364	in vitro cell dev biol
0883-9417	arch psychiatr nurs
0883-9441	j crit care
0884-0709	comput transl
0884-2175	j obstet gynecol neonatal nurs
0884-3996	j biolumin chemilumin
0884-8173	int j intell syst
0884-8181	toxic assess
0884-8734	j gen intern med
0884-8971	sociol forum
0885-064X	j complex
0885-2014	cogn dev
0885-2308	comput speech lang
0885-3185	mov disord
0885-3924	j pain symptom manage
0885-4505	biochem med metabol biol
0885-4513	biotechnol appl biochem
0885-5765	physiol mol plant pathol
0885-6087	hydrol process
0885-6125	mach learn
0885-6222	hum psychopharmacol
0885-6230	int j geriatr psychiatry
0885-7458	int j parallel program
0885-7474	j sci comput
0885-7482	j fam violence
0885-7490	metab brain dis
0886-0440	j card surg
0886-1544	cell motil cytoskelet
0886-3350	j cataract refractive surg
0886-6236	glob biogeochem cycles
0886-7356	cult anthropol
0886-7798	tunn undergr space technol
0886-9375	regul rivers
0886-9383	j chemom
0887-2082	j biochem toxicol
0887-2171	semin ultrasound ct mr
0887-2333	toxicol in vitro
0887-3585	proteins
0887-378X	milbank q
0887-4476	synapse
0887-5367	hypatia
0887-6134	biomed environ mass spectrom
0887-6177	arch clin neuropsychol
0887-6185	j anxiety disord
0887-624X	j polym sci part a polym chem
0887-6258	j polym sci part c polym lett
0887-6266	j polym sci part b polym phys
0887-7963	transfus med rev
0887-8013	j clin lab anal
0887-8250	j sens stud
0887-8994	pediatr neurol
0888-0786	serodiagn immunother infect dis
0888-3270	mech syst signal process
0888-4080	appl cogn psychol
0888-613X	int j approx reason
0888-6296	j cardiothorac anest
0888-7543	genomics
0888-8892	conserv biol
0889-1575	j food compos anal
0889-1591	brain behav immun
0889-1605	j ultrastruct mol struct res
0889-5406	am j orthod dentofac orthop
0889-8529	endocrinol metab clin n am
0889-8537	anesthesiol clin north am
0889-8545	obstet gynecol clin north am
0889-8553	gastroenterol clin north am
0889-8561	immunol allergy clin north am
0889-857X	rheum dis clin north am
0889-8588	hematol oncol clin north am
0889-9746	j fluids struct
0890-2070	eur j pers
0890-4332	heat recovery syst chp
0890-5096	ann vasc surg
0890-5401	inf comput
0890-6238	reprod toxicol
0890-6327	int j adapt control signal process
0890-6955	int j mach tools manuf
0890-8508	mol cell probes
0890-8567	j am acad child adolesc psych
0891-0618	j chem neuroanat
0891-3919	j nucl energy
0891-4222	res dev disabil
0891-5245	j pediatr health care
0891-5520	infect dis clin north am
0891-5849	free radic biol med
0891-6632	j diabetic complications
0891-6640	j vet intern med
0892-0354	electron microsc rev
0892-0362	neurotoxicol teratol
0892-1059	j electrophysiol
0892-1997	j voice
0892-2764	contemp fam ther
0892-4635	lisp symb comput
0892-6875	miner eng
0892-7537	j world prehist
0892-7553	j insect behav
0892-8967	int contact lens clin
0893-0848	child youth care q
0893-133X	neuropsychopharmacology
0893-5785	pigment cell res
0893-6080	neural netw
0893-6609	neurosci res commun
0893-6692	environ mol mutagen
0893-7648	mol neurobiol
0893-8849	j world aquac soc
0893-9659	appl math lett
0894-069X	nav res logist
0894-0959	sem dial
0894-1491	glia
0894-1777	exp therm fluid sci
0894-3214	packag technol sci
0894-3230	j phys org chem
0894-3370	int j numer model
0894-3796	j organ behav
0894-7317	j am soc echocardiogr
0894-9085	j ration emotive cogn behav ther
0894-9840	j theor probab
0894-9867	j trauma stress
0895-2477	microw opt technol lett
0895-4356	j clin epidemiol
0895-6111	comput med imaging graph
0895-7061	am j hypertens
0895-7177	math comput model
0895-8696	j mol neurosci
0895-9811	j south am earth sci
0896-0267	brain topogr
0896-1107	j supercond
0896-4327	j interv cardiol
0896-548X	j trace elem exp med
0896-6273	neuron
0896-6974	j epilepsy
0896-8411	j autoimmun
0896-8446	j supercrit fluids
0897-1897	appl nurs res
0897-3806	clin anat
0898-1221	comput math appl
0898-5529	tetrahedron comput methodol
0898-6568	cell signal
0899-0042	chirality
0899-1987	mol carcinog
0899-3289	j subst abuse
0899-5362	j afr earth sci middle east
0899-7071	clin imaging
0899-9007	nutrition
0899-9457	int j imaging syst technol
0901-5027	int j oral maxillofac surg
0902-0055	oral microbiol immunol
0902-0063	clin transplant
0902-4441	eur j haematol
0903-4641	apmis acta pathol microbiol immunol scand
0904-2512	j oral pathol med
0905-4383	photodermatol photoimmunol photomed
0905-6157	pediatr allergy immunol
0905-6947	indoor air
0905-7161	clin oral implants res
0905-7188	scand j med sci sports
0906-6691	ecol freshwat fish
0906-6705	exp dermatol
0906-7590	ecography
0908-8857	j avian biol
0909-752X	skin res technol
0909-8836	eur j oral sci
0910-2043	jpn j appl math
0910-8327	heart vessels
0911-6044	j neurolinguist
0912-3814	ecol res
0914-3505	congenit anom
0914-8779	j bone miner metab
0916-7005	jap j ind appl math
0916-8370	j oceanogr
0918-9440	j plant res
0919-8172	int j urol
0920-1211	epilepsy res
0920-1742	fish physiol biochem
0920-2307	mater sci rep
0920-3036	k theory
0920-3206	cardiovasc drugs ther
0920-3796	fusion eng des
0920-4105	j pet sci eng
0920-4741	water resour manag
0920-5489	comput stand interfaces
0920-5632	nucl phys b proc suppl
0920-5691	int j comput vis
0920-5861	catal today
0920-654X	j comput aided mol des
0920-8542	j supercomput
0920-8569	virus genes
0920-9069	cytotechnology
0920-9964	schizophr res
0921-0296	j intell robot syst
0921-030X	nat hazards
0921-2973	landsc ecol
0921-299X	biotherapy
0921-3449	resour conserv recycl
0921-4488	small rumin res
0921-4526	physica b condens matter
0921-4534	phys c supercond
0921-5093	mater sci eng a struct mater prop microstruct proces
0921-5107	mater sci eng b solid state mater adv technol
0921-8009	ecol econ
0921-8181	glob planet change
0921-8696	neurosci res suppl
0921-8734	mutat res dnaging genet instab aging
0921-8777	mutat res dna repair
0921-8831	adv powder technol
0921-8890	robot auton syst
0921-8971	j appl phycol
0921-9668	plant food hum nut
0922-3371	cell differ dev
0922-338X	j ferment bioeng
0922-4106	eur j pharmacol mol pharmacol sect
0922-4777	read writ
0922-6168	res chem intermed
0922-6435	exp astron
0922-6443	real time syst
0922-6567	mach transl
0923-0467	chem eng j biochem eng j
0923-0750	j incl phenom mol recognit chem
0923-1137	react polym
0923-1811	j dermatol sci
0923-2494	res immunol
0923-2508	res microbiol
0923-2516	res virol
0923-2524	urgences méd
0923-2532	immunoanal biol spec
0923-2958	celest mech dyn astron
0923-5965	signal process image commun
0923-7534	ann oncol
0923-9820	biodegradation
0924-0136	j mater process technol
0924-090X	nonlinear dyn
0924-2031	vib spectrosc
0924-2244	trends food sci technol
0924-2716	isprs j photogramm remote sens
0924-4204	ann inst pasteur actual
0924-4212	bull cancer radiothér
0924-4247	sens actuators a phys
0924-669X	appl intell
0924-7963	j mar syst
0924-8455	geriat nephrol urol
0924-8463	artif intell law
0924-8579	int j antimicrob agents
0924-9338	eur psychiatr
0924-977X	eur neuropsychopharmacol
0924-980X	electroencephalogr clin neurophysiol electromyogr mot control
0924-9907	j math imaging vis
0925-1022	designs codes cryptogr
0925-1030	analog integr circuits signal process
0925-2312	neurocomputing
0925-2738	j biomol nmr
0925-3467	opt mater
0925-4005	sens actuators b chem
0925-4439	biochim biophys acta mol basis dis
0925-4560	j gen philos sci
0925-4676	j syst integr
0925-4692	inflammopharmacology
0925-4773	mech dev
0925-4927	psychiatr res neuroimaging
0925-4994	crime law soc chang
0925-5001	j glob optim
0925-5214	postharvest biol technol
0925-5273	int j prod econ
0925-7535	saf sci
0925-8388	j alloys compd
0925-854X	nat lang semant
0925-8574	ecol eng
0925-9392	stud east eur thought
0925-9635	diam relat mater
0925-9856	form methods syst des
0925-9902	j intell inf syst
0926-2040	solid state nucl magn reson
0926-2245	differ geom appl
0926-3373	appl catal b environ
0926-5805	autom constr
0926-6003	comput optim appl
0926-6410	cogn brain res
0926-6526	biochim biophys acta spec sect mucoproteins mucopolysacch
0926-6534	biochim biophys acta mucoproteins mucopolysacch
0926-6542	biochim biophys acta lipids relat subj
0926-6550	biochim biophys acta spec sect nucleic acids relat subj
0926-6569	biochim biophys acta spec sect enzymol subj
0926-6577	biochim biophys acta spec sect biophys subj
0926-6585	biochim biophys acta biophys photosynth
0926-6593	biochim biophys acta enzymol biol oxid
0926-6917	eur j pharmacol environ toxicol pharmacol sect
0926-860X	appl catal a gen
0926-9851	j appl geophys
0926-9959	jeadv j eur acad dermatol venereol
0927-0248	sol energy mater sol cells
0927-0256	comput mater sci
0927-6467	russ j numer anal math model
0927-6505	astropart phys
0927-6513	microporous mater
0927-7757	colloids surf a physicochem eng asp
0927-7765	colloids surf b biointerfaces
0927-796X	mater sci eng r rep
0928-0197	clin diagn virol
0928-0707	j sol gel sci technol
0928-0987	eur j pharm sci
0928-4257	j physiol
0928-4346	int hepatol commun
0928-4931	mater sci eng c biomim mater sens syst
0928-7655	resour energy econ
0928-8244	fems immunol med microbiol
0929-1393	appl soil ecol
0929-1873	eur j plant pathol
0929-5305	j thromb thrombolysis
0929-5313	j comput neurosci
0929-5607	adsorption
0929-5666	lett pept sci
0929-6212	wirel pers commun
0929-693X	arch pédiatr
0929-7855	j lipid mediat cell signal
0929-8266	eur j ultrasound
0930-035X	roux s arch dev biol
0930-0708	mineral petrol
0930-1038	surg radiol anat
0930-2794	surg endosc
0930-343X	eur j plast surg
0930-7516	chem eng technol
0930-7575	clim dyn
0931-041X	pediatr nephrol
0931-0509	nephrol dial transplant
0931-1785	j phytopathol
0931-1793	j vet med ser b
0931-184X	j vet med ser a
0931-1890	trees
0931-1955	stoch hydrol hydraul
0931-2021	zent bl vet med b infect dis immunol food hyg vet public health
0931-2048	j appl entomol
0931-2250	j agron crop sci
0931-2439	j anim physiol anim nutr
0931-2668	j anim breed genet
0931-3079	editio
0931-4202	adv ethol
0931-5985	fett
0931-704X	j mater shap technol
0931-7058	j mater eng
0931-8771	quant struct act relatsh
0932-0067	arch gynecol obstet
0932-0113	parasitol res
0932-4194	mcss math control signals syst
0932-4739	eur j protistol
0932-8092	mach vis appl
0932-8351	bautechnik
0932-8629	bot acta
